État physique;Nom du produit (sur packaging);IUPAC - Formule Brute;Quantités en stock;Unité;Étagère;Pictogrammes;Mars 2025;Juillet 2025;Juillet 2026;Besoin URGENT;;;;;;;;;;
LIQUIDE;1 bouteille étiquette délabrée HCl;;0;mL;;;;;;urgent;;;;;;;;;;
LIQUIDE;2 bouteilles inconnues;;0;mL;1;;;;;urgent;;;;;;;;;;
LIQUIDE;2,2-DIMETHYLPROPAN-2-OL;2,2-DIMÉTHYLPROPAN-2-OL;0;mL;;;;;;;;;;;;;;;;
SOLIDE;2,4 - DINITROPHENYLHYDRAZINE;2,4-DINITROPHÉNYLHYDRAZINE;16;g;6;SGH02 SGH07;16;;;;;;;;;;;;;
LIQUIDE;2-CHLORO-2METHYLPROPANE;2-CHLORO-2-MÉTHYLPROPANE;175;mL;3;SGH02;175;;;;;;;;;;;;;
LIQUIDE;2-METHYL 2 BUTANOL (2-BUTANOL OU ALCOOL SEC-BUTYLIQUE);2-MÉTHYLBUTAN-2-OL;900;mL;3;SGH02 SGH07;900;;;;;;;;;;;;;
LIQUIDE;2-METHYL 2 PROPANOL;2-MÉTHYLPROPAN-2-OL;1800;mL;3;SGH02 SGH07;1800;;;;;;;;;;;;;
SOLIDE;2-NAPHTOL 98%;2-NAPHTOL;900;g;;SGH05 SGH07 SGH09;900;;;;;;;;;;;;;
LIQUIDE;ACETHALDEHYDE;ÉTHANAL;500;mL;3;SGH07 SGH08 SGH02;500;;;;;;;;;;;;;
LIQUIDE;ACETONE;PROPANONE;0;mL;;SGH07 SGH02;;;;;;;;;;;;;;
SOLIDE;ACIDE ACÉTYLSALICYLIQUE;ACIDE 2-ACÉTOXYBENZOÏQUE;550;g;4;SGH07;550;;;;;;;;;;;;;
SOLIDE;ACIDE ASCORBIQUE;-;125;g;4;NON;125;;;;;;;;;;;;;
SOLIDE;ACIDE BENZOÏQUE;C6H5COOH;400;g;4;SGH07;400;;;;;;;;;;;;;
SOLIDE;ACIDE BORIQUE;H3BO3;1540;g;4;SGH08;1540;;;;;;;;;;;;;
LIQUIDE;ACIDE CHLORHYDRIQUE 1 MOL/L;ACIDE CHLORHYDRIQUE;750;mL;1;SGH05 SGH07;750;;;;;;;;;;;;;
LIQUIDE;ACIDE CHLORHYDRIQUE 32%;ACIDE CHLORHYDRIQUE;800;mL;;SGH05 SGH07;800;;;;;;;;;;;;;
LIQUIDE;ACIDE CHLORHYDRIQUE PUR 37%;ACIDE CHLORHYDRIQUE;2500;mL;;SGH05 SGH07;2500;;;;;;;;;;;;;
SOLIDE;ACIDE CITRIQUE MONOHYDRATÉ;;150;g;4;SGH07;150;;;;;;;;;;;;;
LIQUIDE;ACIDE ETHANOIQUE 80%;CH3-CO-OH;3000;mL;1;SGH02 SGH05;3000;;;;;;;;;;;;;
LIQUIDE;ACIDE ETHANOIQUE CRISTALISABLE;CH3-CO-OH;1250;mL;1;SGH02 SGH05;1250;;;;;;;;;;;;;
LIQUIDE;ACIDE ETHANOIQUE GLACIAL;CH3-CO-OH;1100;mL;1;SGH02 SGH05;1100;;;;;;;;;;;;;
LIQUIDE;ACIDE ETHANOIQUE TP 5%;CH3-CO-OH;1300;mL;1;SGH02 SGH05;1300;;;;;;;;;;;;;
LIQUIDE;ACIDE FORMIQUE;ACIDE MÉTHANOÏQUE HCOOH;0;mL;;SGH05;;;;;;;;;;;;;;
SOLIDE;ACIDE FUMARIQUE;ACIDE (E)-BUT-2-ÈNEDIOÏQUE HOOC–CH=CH–COOH;300;g;4;SGH07;300;;;;;;;;;;;;;
LIQUIDE;ACIDE IODHYDRIQUE;;125;mL;1;SGH03 SGH05;125;;;;;;;;;;;;;
LIQUIDE;ACIDE LACTIQUE L+;ACIDE 2-HYDROXYPROPANOÏQUE;1950;mL;1;NON;1950;;;;;;;;;;;;;
SOLIDE;ACIDE MALEÏQUE;ACIDE (Z)-BUT-2-ÈNEDIOÏQUE;300;g;4;SGH07;300;;;;;;;;;;;;;
SOLIDE;ACIDE MALONIQUE;ACIDE PROPANEDIOÏQUE;300;g;4;NON;300;;;;;;;;;;;;;
LIQUIDE;ACIDE NITRIQUE;ACIDE NITRIQUE;2150;mL;1;SGH03 SGH05 SGH06;2150;;;;;;;;;;;;;
LIQUIDE;ACIDE OLEIQUE;ACIDE (9Z)-OCTADÉC-9-ÉNOÏQUE;200;mL;1;NON;200;;;;;;;;;;;;;
LIQUIDE;ACIDE ORTOPHOSPHORIQUE;ACIDE PHOSPHORIQUE;2100;mL;1;SGH05;2100;;;;;;;;;;;;;
SOLIDE;ACIDE OXALIQUE;ACIDE ÉTHANEDIOÏQUE;400;g;labo;SGH07;400;;;;;;;;;;;;;
SOLIDE;ACIDE PARATOLUENESULFONIQUE MONOHYDRATÉ;ACIDE P-TOLUÈNESULFONIQUE;212;g;4;SGH07;212;;;;;;;;;;;;;
LIQUIDE;ACIDE PERCHLORIQUE;ACIDE TÉTRAOXOCHLORIQUE(VII);200;mL;1;SGH03 SGH05 SGH08;200;;;;;;;;;;;;;
LIQUIDE;ACIDE PHENOLDISULFONIQUE;;80;mL;1;SGH05;80;;;;;;;;;;;;;
LIQUIDE;ACIDE PHOSPHORIQUE 85%;ACIDE PHOSPHORIQUE;900;mL;1;SGH05;900;;;;;;;;;;;;;
LIQUIDE;ACIDE PROPANOÏQUE;ACIDE PROPANOÏQUE;800;mL;1;SGH05;800;;;;;;;;;;;;;
SOLIDE;ACIDE SALICYLIQUE;ACIDE 2-HYDROXYBENZOÏQUE;100;g;4;NON;100;;;;;;;;;;;;;
SOLIDE;ACIDE STEARIQUE;ACIDE OCTADÉCANOÏQUE;20;g;4;NON;20;;;;;;;;;;;;;
SOLIDE;ACIDE SUCCINIQUE DISODIUM HEXAHYDRATÉ;ACIDE BUTANEDIOÏQUE;70;g;4;NON;70;;;;;;;;;;;;;
SOLIDE;ACIDE SULFANILIQUE;;230;g;4;SGH07;230;;;;;;;;;;;;;
LIQUIDE;ACIDE SULFURIQUE;ACIDE TÉTRAOXOSULFURIQUE(VI);3750;mL;1;SGH05;3750;;;;;;;;;;;;;
SOLIDE;ADRÉALINE L;(R)-4-[1-HYDROXY-2-(MÉTHYLAMINO)ÉTHYL]BENZÈNE-1,2-DIOL;0,1;g;4;;0,1;;;;;;;;;;;;;
SOLIDE;AGAR AGAR;;300;g;7;NON;300;;;;;;;;;;;;;
SOLIDE;AGAR-AGAR;;15;g;5 LP;NON;15;;;;;;;;;;;;;
LIQUIDE;ALCOOL À BRULER;;500;mL;3;SGH02 SGH07 SGH08;500;;;;;;;;;;;;;
LIQUIDE;ALCOOL BENZYLIQUE;PHÉNYLMÉTHANOL;1600;mL;3;SGH07;1600;;;;;;;;;;;;;
LIQUIDE;ALCOOL ISOAMYLIQUE;3-MÉTHYLBUTAN-1-OL;400;mL;3;SGH03 SGH07;400;;;;;;;;;;;;;
SOLIDE;ALCOOL PARA ANISIQUE (ALCOOL 4 MÉTHOXYBENZYLIQUE);ALCOOL 4 MÉTHOXYBENZYLIQUE;180;g;3;NON;180;;;;;;;;;;;;;
SOLIDE;ALCOOL POLYVINYLIQUE;POLY(ÉTHÉNOL);175;g;3;NON;175;;;;;;;;;;;;;
LIQUIDE;ALCOOL PROPYLIQUE;PROPAN-1-OL;0;mL;;SGH02 SGH05 SGH07;;;;;;;;;;;;;;
SOLIDE;ALGINATE DE SODIUM;;10;g;6;NON;10;;;;;;;;;;;;;
SOLIDE;ALLANTOÏNE;;96;g;4;NON;96;;;;;;;;;;;;;
SOLIDE;ALUMINE (ALUMINIUM OXYDE);OXYDE D'ALUMINIUM (Al₂O₃);200;g;6;NON;200;;;;;;;;;;;;;
SOLIDE;ALUMINIUM CHLORURE;CHLORURE D'ALUMINIUM (AlCl₃);500;g;6;SGH05;500;;;;;;;;;;;;;
SOLIDE;ALUMINIUM EN GRENAILLES;;800;g;5 LP;NON;800;;;;;;;;;;;;;
SOLIDE;ALUMINIUM EN POUDRE;;240;g;5 LP;SGH02;240;;;;;;;;;;;;;
